Name                                              	ID                  	Nametype                 	Recclass                 	Mass                	Fall                	Year                	Reclat              	Reclong             	Geolocation                   	State               	Countries                     
Vaca Muerta                                       	24142               	Valid                    	Mesosiderite-A1          	3828000.0           	Found               	1861                	-25.75              	-70.5               	"(-25.75, -70.5)"             	                    	                              
Valencia                                          	24147               	Valid                    	H5                       	33500.0             	Found               	None                	39                  	-0.03333            	"(39.0, -0.03333)"            	                    	                              
Vera                                              	24161               	Valid                    	L/LL4                    	80000.0             	Found               	1941                	-29.91667           	-60.28333           	"(-29.91667, -60.28333)"      	                    	                              
Vermillion                                        	24167               	Valid                    	"Pallasite, ungrouped"   	34360.0             	Found               	1991                	39.73633            	-96.36133           	"(39.73633, -96.36133)"       	17                  	327                           
View Hill                                         	24173               	Valid                    	"Iron, IIIAB"            	33600.0             	Found               	1952                	-43.32              	172.06333           	"(-43.32, 172.06333)"         	                    	                              
Vyatka                                            	24193               	Valid                    	H4                       	45000.0             	Found               	1991                	57.53333            	49                  	"(57.53333, 49.0)"            	                    	                              
Wabar                                             	24194               	Valid                    	"Iron, IIIAB"            	2550000.0           	Found               	1863                	21.49972            	50.47222            	"(21.49972, 50.47222)"        	                    	                              
Waconda                                           	24195               	Valid                    	L6                       	50000.0             	Found               	1873                	39.33333            	-98.16667           	"(39.33333, -98.16667)"       	17                  	3138                          
Wagon Mound                                       	24196               	Valid                    	L6                       	87500.0             	Found               	1932                	35.84083            	-104.58583          	"(35.84083, -104.58583)"      	11                  	1984                          
Walker County                                     	24204               	Valid                    	"Iron, IIAB"             	74800.0             	Found               	1832                	34                  	-87.16667           	"(34.0, -87.16667)"           	29                  	1642                          
Wallapai                                          	24206               	Valid                    	"Iron, IID"              	430000.0            	Found               	1927                	35.8                	-113.7              	"(35.8, -113.7)"              	7                   	8                             
Warburton Range                                   	24212               	Valid                    	"Iron, IVB"              	56930.0             	Found               	1963                	-26.28333           	126.66667           	"(-26.28333, 126.66667)"      	                    	                              
Waterville                                        	24219               	Valid                    	"Iron, IAB-ung"          	37125.0             	Found               	1917                	47.767778           	-119.876389         	"(47.767778, -119.876389)"    	6                   	2979                          
Watson 001                                        	24221               	Valid                    	"Iron, IIE"              	93000.0             	Found               	1972                	-30.5               	131.55              	"(-30.5, 131.55)"             	                    	                              
Weaver Mountains                                  	24227               	Valid                    	"Iron, IVB"              	38800.0             	Found               	1898                	34.25               	-112.75             	"(34.25, -112.75)"            	7                   	944                           
Weekeroo Station                                  	24230               	Valid                    	"Iron, IIE-an"           	94200.0             	Found               	1924                	-32.26667           	139.86667           	"(-32.26667, 139.86667)"      	                    	                              
Wellman (a)                                       	24237               	Valid                    	H5                       	55000.0             	Found               	1940                	33.03333            	-102.33333          	"(33.03333, -102.33333)"      	23                  	801                           
Wellman (c)                                       	24239               	Valid                    	H4                       	45000.0             	Found               	1964                	33.03333            	-102.33333          	"(33.03333, -102.33333)"      	23                  	801                           
Wichita County                                    	24257               	Valid                    	"Iron, IAB-MG"           	145000.0            	Found               	1836                	34.06667            	-98.91667           	"(34.06667, -98.91667)"       	23                  	2960                          
Wildara                                           	24265               	Valid                    	H5                       	500000.0            	Found               	1968                	-28.23333           	120.85              	"(-28.23333, 120.85)"         	                    	                              
Willamette                                        	24269               	Valid                    	"Iron, IIIAB"            	15500000.0          	Found               	1902                	45.36667            	-122.58333          	"(45.36667, -122.58333)"      	12                  	2317                          
Willow Creek                                      	24276               	Valid                    	"Iron, IIIE"             	51000.0             	Found               	1914                	43.46667            	-106.76667          	"(43.46667, -106.76667)"      	14                  	891                           
Wiltshire                                         	56143               	Valid                    	H5                       	92750.0             	Found               	None                	51.14967            	-1.81               	"(51.14967, -1.81)"           	                    	                              
Winburg                                           	24283               	Valid                    	"Iron, IC-an"            	50000.0             	Found               	1881                	-28.5               	27                  	"(-28.5, 27.0)"               	                    	                              
Wolf Creek                                        	24326               	Valid                    	"Iron, IIIAB"            	760000.0            	Found               	1947                	-19.3               	127.76667           	"(-19.3, 127.76667)"          	                    	                              
Wolsey                                            	24328               	Valid                    	"Iron, IAB-MG"           	74830.0             	Found               	1981                	44.4                	-98.53333           	"(44.4, -98.53333)"           	21                  	661                           
Wonyulgunna                                       	24329               	Valid                    	"Iron, IIIAB"            	37800.0             	Found               	1937                	-24.91667           	120.06667           	"(-24.91667, 120.06667)"      	                    	                              
Woodbine                                          	24330               	Valid                    	"Iron, IAB-ung"          	48200.0             	Found               	1953                	42.34667            	-90.1675            	"(42.34667, -90.1675)"        	34                  	1714                          
Woodward County                                   	24333               	Valid                    	H4                       	45500.0             	Found               	1923                	36.5                	-99.5               	"(36.5, -99.5)"               	20                  	718                           
Wooramel                                          	24335               	Valid                    	L5                       	71000.0             	Found               	1969                	-25.65              	114.21667           	"(-25.65, 114.21667)"         	                    	                              
Wu-chu-mu-ch'in                                   	24341               	Valid                    	"Iron, IAB-ung"          	68860.0             	Found               	1920                	45.5                	118                 	"(45.5, 118.0)"               	                    	                              
Wynella                                           	24343               	Valid                    	H4                       	40000.0             	Found               	1945                	-28.95              	148.13333           	"(-28.95, 148.13333)"         	                    	                              
Xifu                                              	54608               	Valid                    	"Iron, IAB complex"      	3000000.0           	Found               	2004                	36.3                	120.48333           	"(36.3, 120.48333)"           	                    	                              
Xinyi                                             	24347               	Valid                    	H5                       	69000.0             	Found               	1975                	34.36667            	118.33333           	"(34.36667, 118.33333)"       	                    	                              
Yanhuitlan                                        	30349               	Valid                    	"Iron, IVA"              	421000.0            	Found               	1825                	17.53333            	-97.35              	"(17.53333, -97.35)"          	                    	                              
Yelland Dry Lake                                  	52641               	Valid                    	H4                       	76000.0             	Found               	2007                	39.35067            	-114.40783          	"(39.35067, -114.40783)"      	10                  	2404                          
Yenberrie                                         	30361               	Valid                    	"Iron, IAB-MG"           	132000.0            	Found               	1918                	-14.25              	132.01667           	"(-14.25, 132.01667)"         	                    	                              
Yilmia                                            	30362               	Valid                    	EL6                      	40000.0             	Found               	1969                	-31.19167           	121.53333           	"(-31.19167, 121.53333)"      	                    	                              
Yingde                                            	30363               	Valid                    	"Iron, IVA"              	3000000.0           	Found               	1964                	24.2                	113.4               	"(24.2, 113.4)"               	                    	                              
Yongning                                          	30365               	Valid                    	"Iron, IAB-ung"          	60000.0             	Found               	1971                	22.75               	108.33333           	"(22.75, 108.33333)"          	                    	                              
